word	rank	source_rank	zipf	score
אני	1	curated	7.00	0.90
אנחנו	2	curated	6.30	0.82
אתה	3	curated	6.70	0.86
את	4	curated	6.55	0.84
הוא	5	curated	6.70	0.86
היא	6	curated	6.55	0.84
הם	7	curated	6.10	0.78
זה	8	curated	6.80	0.87
זאת	9	curated	5.90	0.73
אלה	10	curated	5.80	0.72
לא	11	curated	6.75	0.86
כן	12	curated	6.50	0.83
מה	13	curated	6.70	0.86
מי	14	curated	6.20	0.80
עם	15	curated	6.45	0.82
על	16	curated	6.50	0.83
של	17	curated	6.65	0.85
אל	18	curated	6.10	0.78
גם	19	curated	6.30	0.81
רק	20	curated	6.05	0.77
כל	21	curated	6.55	0.84
יש	22	curated	6.55	0.84
אין	23	curated	6.25	0.80
היה	24	curated	6.05	0.77
היו	25	curated	5.90	0.74
יהיה	26	curated	5.95	0.75
היום	27	curated	6.20	0.80
מחר	28	curated	5.70	0.71
עכשיו	29	curated	6.00	0.77
תודה	30	curated	5.90	0.74
שלום	31	curated	5.85	0.73
בבקשה	32	curated	5.45	0.66
טוב	33	curated	6.15	0.79
חדש	34	curated	5.65	0.70
בית	35	curated	6.05	0.77
ספר	36	curated	5.95	0.75
עבודה	37	curated	5.85	0.73
מחשב	38	curated	5.55	0.68
מקלדת	39	curated	5.25	0.62
חלון	40	curated	5.10	0.60
זמן	41	curated	5.90	0.74
קובץ	42	curated	5.25	0.62
סיסמה	43	curated	5.00	0.59
הודעה	44	curated	5.35	0.64
שפה	45	curated	5.65	0.70
עברית	46	curated	5.55	0.68
אנגלית	47	curated	5.35	0.64
רוסית	48	curated	5.10	0.60
תוכנה	49	curated	5.30	0.63
יישום	50	curated	5.00	0.59
