word	rank	source_rank	zipf	score
россии	68	71	6.06	0.722857
украины	189	202	5.59	0.655714
россия	220	233	5.52	0.645714
москве	248	262	5.47	0.638571
москва	309	325	5.37	0.624286
александр	359	375	5.32	0.617143
москвы	458	474	5.23	0.604286
европы	466	482	5.22	0.602857
украине	475	491	5.22	0.602857
владимир	498	514	5.19	0.598571
российский	509	525	5.19	0.598571
германии	534	550	5.17	0.595714
сергей	574	590	5.15	0.592857
путин	656	673	5.09	0.584286
франции	691	708	5.08	0.582857
украина	780	799	5.04	0.577143
михаил	806	825	5.02	0.574286
андрей	814	833	5.01	0.572857
россию	850	869	5.0	0.571429
николай	882	901	4.98	0.568571
алексей	904	923	4.97	0.567143
александра	925	945	4.96	0.565714
москву	1078	1100	4.91	0.558571
киеве	1110	1132	4.9	0.557143
петербурге	1116	1138	4.9	0.557143
дмитрий	1170	1192	4.88	0.554286
европе	1172	1194	4.88	0.554286
италии	1239	1264	4.86	0.551429
роман	1275	1302	4.85	0.55
виктор	1279	1306	4.84	0.548571
японии	1309	1336	4.84	0.548571
порошенко	1330	1357	4.83	0.547143
англии	1460	1490	4.79	0.541429
петербург	1480	1510	4.79	0.541429
великобритании	1533	1565	4.77	0.538571
игорь	1542	1574	4.77	0.538571
крыму	1545	1577	4.77	0.538571
павел	1554	1586	4.77	0.538571
испании	1573	1605	4.76	0.537143
ленина	1579	1611	4.76	0.537143
китая	1617	1650	4.75	0.535714
мария	1621	1654	4.75	0.535714
турции	1641	1674	4.75	0.535714
украину	1642	1675	4.75	0.535714
владимира	1648	1681	4.74	0.534286
евгений	1659	1692	4.74	0.534286
китай	1667	1700	4.74	0.534286
сирии	1727	1761	4.73	0.532857
украинский	1738	1772	4.73	0.532857
питер	1812	1849	4.71	0.53
россией	1820	1857	4.71	0.53
петербурга	1859	1897	4.7	0.528571
путина	1914	1952	4.69	0.527143
украинской	1920	1958	4.69	0.527143
гарри	1930	1969	4.68	0.525714
белоруссии	1971	2011	4.67	0.524286
крыма	2046	2087	4.66	0.522857
английский	2088	2130	4.65	0.521429
китае	2105	2147	4.65	0.521429
московский	2109	2151	4.65	0.521429
американский	2135	2177	4.64	0.52
грузии	2146	2188	4.64	0.52
елена	2152	2194	4.64	0.52
индии	2213	2255	4.63	0.518571
йорке	2216	2258	4.63	0.518571
петра	2227	2269	4.63	0.518571
василий	2258	2301	4.62	0.517143
николая	2274	2318	4.62	0.517143
сибири	2291	2335	4.62	0.517143
украинских	2300	2344	4.62	0.517143
америки	2309	2355	4.61	0.515714
борис	2314	2360	4.61	0.515714
бразилии	2316	2362	4.61	0.515714
константин	2339	2385	4.61	0.515714
ольга	2351	2397	4.61	0.515714
беларуси	2437	2483	4.59	0.512857
беларусь	2438	2484	4.59	0.512857
михаила	2503	2549	4.58	0.511429
украинского	2538	2584	4.58	0.511429
германия	2547	2595	4.57	0.51
джеймс	2549	2597	4.57	0.51
киева	2556	2604	4.57	0.51
дэвид	2598	2647	4.56	0.508571
польши	2626	2675	4.56	0.508571
рсфср	2633	2682	4.56	0.508571
анатолий	2652	2702	4.55	0.507143
украинские	2702	2752	4.55	0.507143
антон	2711	2765	4.54	0.505714
сергея	2771	2825	4.54	0.505714
майкл	2823	2877	4.53	0.504286
максим	2824	2878	4.53	0.504286
обама	2832	2886	4.53	0.504286
спартак	2862	2916	4.53	0.504286
америке	2874	2930	4.52	0.502857
болгарии	2875	2931	4.52	0.502857
израиля	2895	2951	4.52	0.502857
греции	2952	3008	4.51	0.501429
латвии	2964	3020	4.51	0.501429
минск	2967	3023	4.51	0.501429
франция	3010	3066	4.51	0.501429
андрея	3018	3074	4.5	0.5
медведев	3043	3099	4.5	0.5
париже	3055	3111	4.5	0.5
минобороны	3121	3179	4.49	0.498571
татьяна	3162	3220	4.49	0.498571
финляндии	3166	3224	4.49	0.498571
австралии	3171	3231	4.48	0.497143
валерий	3176	3236	4.48	0.497143
иванов	3194	3254	4.48	0.497143
леонид	3202	3262	4.48	0.497143
наталья	3210	3270	4.48	0.497143
немецкий	3213	3273	4.48	0.497143
европа	3266	3329	4.47	0.495714
иванович	3270	3333	4.47	0.495714
ирина	3273	3336	4.47	0.495714
лондоне	3280	3343	4.47	0.495714
роберт	3308	3371	4.47	0.495714
екатерина	3342	3406	4.46	0.494286
ивана	3346	3410	4.46	0.494286
израиль	3347	3411	4.46	0.494286
джордж	3404	3470	4.45	0.492857
казахстана	3417	3483	4.45	0.492857
французский	3464	3530	4.45	0.492857
швеции	3468	3534	4.45	0.492857
армении	3471	3538	4.44	0.491429
генри	3582	3651	4.43	0.49
париж	3614	3683	4.43	0.49
ростов	3719	3789	4.42	0.488571
швейцарии	3745	3815	4.42	0.488571
джона	3764	3836	4.41	0.487143
казани	3778	3850	4.41	0.487143
лондон	3784	3856	4.41	0.487143
марина	3787	3859	4.41	0.487143
минске	3789	3861	4.41	0.487143
украинская	3839	3911	4.41	0.487143
алексея	3856	3930	4.4	0.485714
пушкина	3902	3978	4.4	0.485714
вашингтон	3929	4006	4.39	0.484286
ирана	3942	4019	4.39	0.484286
канады	3945	4022	4.39	0.484286
мартин	3951	4028	4.39	0.484286
польше	3970	4047	4.39	0.484286
томас	3996	4073	4.39	0.484286
виталий	4012	4091	4.38	0.482857
казань	4031	4110	4.38	0.482857
ричард	4079	4159	4.38	0.482857
екатеринбург	4126	4207	4.37	0.481429
япония	4196	4277	4.37	0.481429
дмитрия	4216	4298	4.36	0.48
евгения	4221	4303	4.36	0.48
новосибирск	4251	4333	4.36	0.48
сибирь	4273	4355	4.36	0.48
артур	4304	4387	4.35	0.478571
казахстан	4337	4420	4.35	0.478571
литвы	4347	4430	4.35	0.478571
норвегии	4359	4442	4.35	0.478571
чехии	4417	4500	4.35	0.478571
чикаго	4418	4501	4.35	0.478571
эстонии	4425	4508	4.35	0.478571
америка	4428	4511	4.34	0.477143
бориса	4429	4512	4.34	0.477143
донбасса	4445	4528	4.34	0.477143
донецке	4446	4529	4.34	0.477143
европу	4450	4533	4.34	0.477143
никита	4475	4558	4.34	0.477143
австрии	4535	4620	4.33	0.475714
кирилл	4559	4644	4.33	0.475714
павла	4582	4667	4.33	0.475714
стивен	4622	4707	4.33	0.475714
африки	4642	4728	4.32	0.474286
георгий	4655	4741	4.32	0.474286
денис	4659	4745	4.32	0.474286
подмосковье	4706	4792	4.32	0.474286
италия	4894	4984	4.3	0.471429
йорка	4895	4985	4.3	0.471429
китайский	4898	4988	4.3	0.471429
лавров	4901	4991	4.3	0.471429
лондона	4903	4993	4.3	0.471429
польша	4930	5020	4.3	0.471429
юнайтед	4978	5069	4.3	0.471429
харьков	5076	5168	4.29	0.47
валентина	5088	5181	4.28	0.468571
