lang	word	length	rank	zipf	category
ru	а	1	1	6.86	safe_auto
ru	в	1	2	7.63	safe_auto
ru	и	1	3	7.47	safe_auto
ru	к	1	4	6.66	safe_auto
ru	о	1	5	6.66	safe_auto
ru	с	1	6	7.14	safe_auto
ru	у	1	7	6.63	safe_auto
ru	я	1	8	6.91	safe_auto
ru	бы	2	9	6.28	safe_auto
ru	из	2	10	6.77	safe_auto
ru	не	2	11	7.20	safe_auto
ru	на	2	12	7.25	safe_auto
ru	но	2	13	6.64	safe_auto
ru	по	2	14	6.88	safe_auto
ru	то	2	15	6.64	safe_auto
ru	за	2	16	6.69	safe_auto
ru	до	2	17	6.38	safe_auto
ru	от	2	18	6.59	safe_auto
ru	как	3	19	6.85	safe_auto
ru	что	3	20	7.09	safe_auto
ru	это	3	21	6.73	safe_auto
ru	для	3	22	6.67	safe_auto
ru	нет	3	23	6.07	safe_auto
ru	да	2	24	6.22	safe_auto
ru	вот	3	25	6.08	safe_auto
ru	всё	3	26	6.58	safe_auto
ru	ещё	3	27	6.04	safe_auto
ru	уже	3	28	6.31	safe_auto
ru	мне	3	29	6.01	safe_auto
ru	мы	2	30	6.40	safe_auto
ru	вы	2	31	6.19	safe_auto
ru	он	2	32	6.59	safe_auto
ru	она	3	33	6.12	safe_auto
ru	они	3	34	6.11	safe_auto
en	a	1	1	7.36	safe_auto
en	i	1	2	7.09	safe_auto
en	an	2	3	6.55	safe_auto
en	as	2	4	6.77	safe_auto
en	at	2	5	6.74	safe_auto
en	be	2	6	6.75	safe_auto
en	by	2	7	6.63	safe_auto
en	do	2	8	6.49	safe_auto
en	he	2	9	6.75	safe_auto
en	if	2	10	6.32	safe_auto
en	in	2	11	7.08	safe_auto
en	is	2	12	7.07	safe_auto
en	it	2	13	6.99	safe_auto
en	me	2	14	6.40	safe_auto
en	my	2	15	6.55	safe_auto
en	no	2	16	6.40	safe_auto
en	of	2	17	7.21	safe_auto
en	on	2	18	6.92	safe_auto
en	or	2	19	6.78	safe_auto
en	so	2	20	6.56	safe_auto
en	to	2	21	7.43	safe_auto
en	up	2	22	6.28	safe_auto
en	us	2	23	6.27	safe_auto
en	we	2	24	6.66	safe_auto
en	yes	3	25	6.10	safe_auto
en	not	3	26	6.98	safe_auto
en	and	3	27	7.37	safe_auto
en	but	3	28	6.93	safe_auto
en	for	3	29	7.01	safe_auto
en	the	3	30	7.73	safe_auto
en	you	3	31	7.31	safe_auto
en	are	3	32	7.08	safe_auto
en	can	3	33	6.78	safe_auto
en	was	3	34	6.93	safe_auto
en	were	4	35	6.55	safe_auto
en	with	4	36	7.05	safe_auto
en	that	4	37	7.10	safe_auto
en	this	4	38	6.87	safe_auto
en	what	4	39	6.76	safe_auto
en	when	4	40	6.51	safe_auto
en	from	4	41	6.73	safe_auto
he	ב	1	1	6.10	safe_auto
he	ו	1	2	6.50	safe_auto
he	זה	2	3	6.80	safe_auto
he	לא	2	4	6.75	safe_auto
he	ל	1	5	6.10	safe_auto
he	מה	2	6	6.70	safe_auto
he	על	2	7	6.50	safe_auto
he	עם	2	8	6.45	safe_auto
he	של	2	9	6.65	safe_auto
