lang	word	length	rank	zipf	category
ru	в	1	1	7.63	auto_whitelist
ru	и	1	2	7.47	auto_whitelist
ru	на	2	3	7.25	auto_whitelist
ru	не	2	4	7.2	auto_whitelist
ru	с	1	5	7.14	auto_whitelist
ru	что	3	6	7.09	auto_whitelist
ru	я	1	7	6.91	auto_whitelist
ru	по	2	8	6.88	auto_whitelist
ru	а	1	9	6.86	auto_whitelist
ru	как	3	10	6.85	auto_whitelist
ru	из	2	11	6.77	auto_whitelist
ru	это	3	12	6.73	auto_whitelist
ru	за	2	13	6.69	auto_whitelist
ru	для	3	14	6.67	auto_whitelist
ru	о	1	15	6.66	auto_whitelist
ru	к	1	16	6.65	auto_whitelist
ru	но	2	17	6.64	auto_whitelist
ru	то	2	18	6.64	auto_whitelist
ru	у	1	19	6.63	auto_whitelist
ru	его	3	20	6.59	auto_whitelist
ru	он	2	21	6.59	auto_whitelist
ru	от	2	22	6.59	auto_whitelist
ru	все	3	23	6.58	auto_whitelist
ru	так	3	24	6.49	auto_whitelist
ru	же	2	25	6.4	auto_whitelist
ru	мы	2	26	6.4	auto_whitelist
ru	до	2	27	6.38	auto_whitelist
ru	ты	2	28	6.37	auto_whitelist
ru	был	3	30	6.35	auto_whitelist
ru	если	4	31	6.35	auto_whitelist
ru	было	4	33	6.33	auto_whitelist
ru	мне	3	34	6.33	auto_whitelist
ru	меня	4	36	6.32	auto_whitelist
ru	уже	3	37	6.31	auto_whitelist
ru	еще	3	38	6.29	auto_whitelist
ru	бы	2	39	6.28	auto_whitelist
ru	или	3	40	6.27	auto_whitelist
ru	их	2	41	6.26	auto_whitelist
ru	они	3	42	6.25	auto_whitelist
ru	при	3	43	6.24	auto_whitelist
ru	кто	3	47	6.21	auto_whitelist
ru	года	4	48	6.2	auto_whitelist
ru	есть	4	50	6.19	auto_whitelist
ru	она	3	51	6.19	auto_whitelist
ru	во	2	52	6.18	auto_whitelist
ru	вы	2	53	6.17	auto_whitelist
ru	нет	3	56	6.16	auto_whitelist
ru	были	4	58	6.13	auto_whitelist
ru	со	2	59	6.13	auto_whitelist
ru	была	4	60	6.12	auto_whitelist
ru	вот	3	63	6.1	auto_whitelist
ru	ее	2	64	6.1	auto_whitelist
ru	чем	3	65	6.1	auto_whitelist
ru	быть	4	66	6.08	auto_whitelist
ru	где	3	67	6.08	auto_whitelist
ru	под	3	68	6.08	auto_whitelist
ru	этом	4	69	6.08	auto_whitelist
ru	вас	3	70	6.06	auto_whitelist
ru	да	2	72	6.04	auto_whitelist
ru	даже	4	73	6.04	auto_whitelist
ru	того	4	75	6.03	auto_whitelist
ru	том	3	80	6.0	auto_whitelist
ru	г	1	82	5.99	auto_whitelist
ru	ну	2	83	5.98	auto_whitelist
ru	без	3	85	5.97	auto_whitelist
ru	году	4	86	5.96	auto_whitelist
ru	лет	3	87	5.96	auto_whitelist
ru	нас	3	88	5.96	auto_whitelist
ru	ни	2	89	5.96	auto_whitelist
ru	об	2	90	5.96	auto_whitelist
ru	там	3	91	5.96	auto_whitelist
ru	себя	4	94	5.95	auto_whitelist
ru	этот	4	95	5.95	auto_whitelist
ru	ли	2	97	5.94	auto_whitelist
ru	м	1	98	5.94	auto_whitelist
ru	раз	3	99	5.94	auto_whitelist
ru	всех	4	101	5.92	auto_whitelist
ru	один	4	102	5.92	auto_whitelist
ru	тебя	4	103	5.92	auto_whitelist
ru	надо	4	107	5.89	auto_whitelist
ru	ему	3	109	5.87	auto_whitelist
ru	них	3	110	5.86	auto_whitelist
ru	сша	3	111	5.86	auto_whitelist
ru	тоже	4	112	5.86	auto_whitelist
ru	день	4	115	5.84	auto_whitelist
ru	пока	4	116	5.83	auto_whitelist
ru	тем	3	117	5.82	auto_whitelist
ru	эти	3	118	5.82	auto_whitelist
ru	им	2	120	5.81	auto_whitelist
ru	этой	4	123	5.79	auto_whitelist
ru	себе	4	128	5.77	auto_whitelist
ru	тебе	4	130	5.77	auto_whitelist
ru	год	3	131	5.76	auto_whitelist
ru	два	3	132	5.76	auto_whitelist
ru	него	4	134	5.76	auto_whitelist
ru	п	1	136	5.76	auto_whitelist
ru	люди	4	138	5.75	auto_whitelist
ru	тут	3	141	5.75	auto_whitelist
ru	свою	4	142	5.74	auto_whitelist
ru	нам	3	146	5.73	auto_whitelist
ru	хочу	4	151	5.73	auto_whitelist
ru	вам	3	153	5.72	auto_whitelist
ru	мой	3	154	5.72	auto_whitelist
ru	лишь	4	165	5.68	auto_whitelist
