word	rank	english_layout	punctuation	trigger_letters	punctuation_count	in_auto_core_100k	zipf	score
это	12	'nj	'	э	1	1	6.73	0.818571
же	25	;t	;	ж	1	1	6.4	0.771429
был	30	,sk	,	б	1	1	6.35	0.764286
было	33	,skj	,	б	1	1	6.33	0.761429
уже	36	e;t	;	ж	1	1	6.31	0.758571
бы	38	,s	,	б	1	1	6.28	0.754286
их	40	b[	[	х	1	1	6.26	0.751429
будет	43	,eltn	,	б	1	1	6.23	0.747143
чтобы	47	xnj,s	,	б	1	1	6.2	0.742857
может	52	vj;tn	;	ж	1	1	6.17	0.738571
были	56	,skb	,	б	1	1	6.13	0.732857
была	58	,skf	,	б	1	1	6.12	0.731429
также	59	nfr;t	;	ж	1	1	6.12	0.731429
быть	63	,snm	,	б	1	1	6.08	0.725714
этом	66	'njv	'	э	1	1	6.08	0.725714
даже	70	lf;t	;	ж	1	1	6.04	0.72
можно	71	vj;yj	;	ж	1	1	6.04	0.72
этого	74	'njuj	'	э	1	1	6.02	0.717143
больше	75	,jkmit	,	б	1	1	6.01	0.715714
более	78	,jktt	,	б	1	1	5.99	0.712857
без	81	,tp	,	б	1	1	5.97	0.71
об	86	j,	,	б	1	1	5.96	0.708571
себя	90	ct,z	,	б	1	1	5.95	0.707143
этот	91	'njn	'	э	1	1	5.95	0.707143
всех	96	dct[	[	х	1	1	5.92	0.702857
тебя	98	nt,z	,	б	1	1	5.92	0.702857
них	105	yb[	[	х	1	1	5.86	0.694286
тоже	107	nj;t	;	ж	1	1	5.86	0.694286
области	108	j,kfcnb	,	б	1	1	5.85	0.692857
эти	113	'nb	'	э	1	1	5.82	0.688571
жизни	114	;bpyb	;	ж	1	1	5.81	0.687143
между	117	vt;le	;	ж	1	1	5.79	0.684286
этой	118	'njq	'	э	1	1	5.79	0.684286
нужно	121	ye;yj	;	ж	1	1	5.77	0.681429
себе	122	ct,t	,	б	1	1	5.77	0.681429
тебе	124	nt,t	,	б	1	1	5.77	0.681429
людей	127	k.ltq	.	ю	1	1	5.76	0.68
люди	131	k.lb	.	ю	1	1	5.75	0.678571
свою	135	cdj.	.	ю	1	1	5.74	0.677143
жизнь	136	;bpym	;	ж	1	1	5.73	0.675714
хочу	142	[jxe	[	х	1	1	5.73	0.675714
хорошо	148	[jhjij	[	х	1	1	5.71	0.672857
которых	149	rjnjhs[	[	х	1	1	5.7	0.671429
работы	160	hf,jns	,	б	1	1	5.66	0.665714
поэтому	164	gj'njve	'	э	1	1	5.65	0.664286
хотя	176	[jnz	[	х	1	1	5.62	0.66
вообще	179	djj,ot	,	б	1	1	5.61	0.658571
будут	180	,elen	,	б	1	1	5.6	0.657143
должны	181	ljk;ys	;	ж	1	1	5.6	0.657143
спасибо	183	cgfcb,j	,	б	1	1	5.6	0.657143
эта	184	'nf	'	э	1	1	5.6	0.657143
своих	188	cdjb[	[	х	1	1	5.59	0.655714
тех	190	nt[	[	х	1	1	5.58	0.654286
других	193	lheub[	[	х	1	1	5.57	0.652857
эту	197	'ne	'	э	1	1	5.57	0.652857
знаю	201	pyf.	.	ю	1	1	5.55	0.65
двух	204	lde[	[	х	1	1	5.54	0.648571
должен	206	ljk;ty	;	ж	1	1	5.54	0.648571
каждый	210	rf;lsq	;	ж	1	1	5.53	0.647143
нибудь	211	yb,elm	,	б	1	1	5.53	0.647143
этих	216	'nb[	'[	эх	2	1	5.53	0.647143
этим	221	'nbv	'	э	1	1	5.52	0.645714
